  376.060607 |   0)   0.000 us    |                      } /* add_preempt_count */
  376.060607 |   0)   0.000 us    |                      sub_preempt_count();
  376.060607 |   0)   0.000 us    |                    } /* __dec_zone_state */
  376.060638 |   0)   0.000 us    |                  } /* __dec_zone_page_state */
  376.060638 |   0) + 30.517 us   |                } /* page_remove_rmap */
  376.060638 |   0)               |                _raw_spin_unlock() {
  376.060638 |   0)   0.000 us    |                  sub_preempt_count();
  376.060638 |   0)   0.000 us    |                }
  376.060638 |   0)   0.000 us    |                _cond_resched();
  376.060638 |   0)               |                _raw_spin_lock() {
  376.060638 |   0)               |                  __raw_spin_lock() {
  376.060638 |   0)   0.000 us    |                    add_preempt_count();
  376.060638 |   0)   0.000 us    |                  }
  376.060638 |   0)   0.000 us    |                }
  376.060638 |   0)   0.000 us    |                vm_normal_page();
  376.060638 |   0)   0.000 us    |                page_remove_rmap();
  376.060668 |   0) + 30.518 us   |                vm_normal_page();
  376.060668 |   0)   0.000 us    |                page_remove_rmap();
  376.060668 |   0)   0.000 us    |                vm_normal_page();
CPU:1 [LOST 20233 EVENTS]
  376.089202 |   1)               |          _raw_spin_lock() {
  376.089202 |   1)               |            __raw_spin_lock() {
  376.089202 |   1)   0.000 us    |              add_preempt_count();
  376.089233 |   1)   0.000 us    |            }
  376.089233 |   1) + 30.518 us   |          }
  376.089233 |   1)   0.000 us    |          __rcu_read_unlock();
  376.089233 |   1)               |          _raw_spin_unlock() {
  376.089233 |   1)   0.000 us    |            sub_preempt_count();
  376.089233 |   1)   0.000 us    |          }
  376.089233 |   1) + 30.518 us   |        } /* dget_parent */
  376.089233 |   1)               |        dput() {
  376.089233 |   1)               |          _raw_spin_lock() {
  376.089233 |   1)               |            __raw_spin_lock() {
  376.089233 |   1)   0.000 us    |              add_preempt_count();
  376.089233 |   1)   0.000 us    |            }
  376.089233 |   1)   0.000 us    |          }
  376.089233 |   1)               |          _raw_spin_unlock() {
  376.089233 |   1)   0.000 us    |            sub_preempt_count();
  376.089263 |   1) + 30.518 us   |          }
  376.089263 |   1) + 30.518 us   |        }
  376.089263 |   1) + 61.036 us   |      } /* __fsnotify_parent */
  376.089263 |   1)   0.000 us    |      fsnotify();
  376.089263 |   1) ! 885.010 us  |    } /* vfs_read */
  376.089263 |   1)   0.000 us    |    fput();
  376.089263 |   1) ! 885.010 us  |  } /* sys_read */
  376.089263 |   1)               |  sys_llseek() {
  376.089263 |   1)               |    fget_light() {
  376.089263 |   1)   0.000 us    |      __rcu_read_lock();
  376.089263 |   1)   0.000 us    |      __rcu_read_unlock();
  376.089294 |   1)   0.000 us    |    }
  376.089294 |   1)               |    vfs_llseek() {
  376.089294 |   1)               |      ext4_llseek() {
  376.089294 |   1)   0.000 us    |        generic_file_llseek_size();
  376.089294 |   1)   0.000 us    |      }
  376.089294 |   1)   0.000 us    |    }
  376.089294 |   1)   0.000 us    |    fput();
